No.;;;;;Load;Member Load Parameters;;;;;;;;;;;;;;;;;;
;Assigned to Members No.;Load Type;Load Distribution;Coordinate System;Direction;p [kN/m];;;;;;;;;;;;;;;;;Options;Comment
1;90;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
2;92;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
3;93;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
4;95;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
5;97;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
6;99;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
7;101;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
8;108;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
9;119;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
10;124;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
11;125;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
12;126;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
13;127;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
14;134;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
15;148;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
16;149;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
17;150;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
18;151;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
19;152;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
20;153;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
21;160;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
22;174;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
23;175;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
24;176;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
25;177;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
26;178;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
27;179;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
28;186;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
29;200;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
30;201;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
31;202;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
32;203;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
33;204;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
34;205;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
35;212;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
36;102;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
37;103;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
38;104;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
39;105;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
40;106;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
41;107;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
42;121;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
43;128;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
44;129;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
45;130;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
46;131;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
47;132;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
48;133;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
49;135;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
50;154;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
51;155;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
52;156;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
53;157;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
54;158;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
55;159;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
56;161;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
57;180;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
58;181;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
59;182;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
60;183;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
61;184;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
62;185;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
63;187;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
64;206;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
65;207;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
66;208;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
67;209;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
68;210;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
69;211;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
70;213;Force;Varying;1 - Global XYZ;Z_P;;;;;;;;;;;;;;;;;;;
